entity_id,state,last_changed
sensor.washing_machine_power,55.644,2025-09-17T16:50:15.986Z
sensor.washing_machine_power,4.72,2025-09-17T16:50:20.992Z
sensor.washing_machine_power,45.071,2025-09-17T16:50:26.052Z
sensor.washing_machine_power,55.138,2025-09-17T16:50:31.111Z
sensor.washing_machine_power,59.805,2025-09-17T16:50:36.194Z
sensor.washing_machine_power,54.554,2025-09-17T16:50:41.195Z
sensor.washing_machine_power,50.805,2025-09-17T16:50:46.253Z
sensor.washing_machine_power,4.901,2025-09-17T16:50:51.301Z
sensor.washing_machine_power,54.902,2025-09-17T16:50:56.421Z
sensor.washing_machine_power,36.136,2025-09-17T16:51:06.542Z
sensor.washing_machine_power,54.644,2025-09-17T16:51:11.522Z
sensor.washing_machine_power,46.604,2025-09-17T16:51:16.562Z
sensor.washing_machine_power,4.694,2025-09-17T16:51:21.615Z
sensor.washing_machine_power,41.278,2025-09-17T16:51:26.682Z
sensor.washing_machine_power,53.497,2025-09-17T16:51:31.725Z
sensor.washing_machine_power,65.951,2025-09-17T16:51:36.766Z
sensor.washing_machine_power,61.454,2025-09-17T16:51:41.873Z
sensor.washing_machine_power,47.657,2025-09-17T16:51:46.869Z
sensor.washing_machine_power,30.583,2025-09-17T16:51:51.929Z
sensor.washing_machine_power,59.778,2025-09-17T16:51:56.974Z
sensor.washing_machine_power,55.891,2025-09-17T16:52:02.012Z
sensor.washing_machine_power,61.562,2025-09-17T16:52:07.129Z
sensor.washing_machine_power,30.865,2025-09-17T16:52:12.130Z
sensor.washing_machine_power,52.322,2025-09-17T16:52:17.169Z
sensor.washing_machine_power,686.403,2025-09-17T16:52:27.269Z
sensor.washing_machine_power,2531.478,2025-09-17T16:52:28.421Z
sensor.washing_machine_power,51.277,2025-09-17T16:53:13.864Z
sensor.washing_machine_power,56.852,2025-09-17T16:53:15.024Z
sensor.washing_machine_power,41.628,2025-09-17T16:53:20.098Z
sensor.washing_machine_power,50.774,2025-09-17T16:53:25.172Z
sensor.washing_machine_power,56.879,2025-09-17T16:53:30.189Z
sensor.washing_machine_power,52.603,2025-09-17T16:53:35.239Z
sensor.washing_machine_power,58.912,2025-09-17T16:53:40.288Z
sensor.washing_machine_power,54.212,2025-09-17T16:53:55.435Z
sensor.washing_machine_power,24.714,2025-09-17T16:54:00.473Z
sensor.washing_machine_power,51.276,2025-09-17T16:54:05.548Z
sensor.washing_machine_power,60.348,2025-09-17T16:54:10.596Z
sensor.washing_machine_power,55.469,2025-09-17T16:54:15.653Z
sensor.washing_machine_power,49.504,2025-09-17T16:54:20.705Z
sensor.washing_machine_power,43.975,2025-09-17T16:54:25.759Z
sensor.washing_machine_power,4.666,2025-09-17T16:54:30.817Z
sensor.washing_machine_power,55.309,2025-09-17T16:54:35.850Z
sensor.washing_machine_power,51.601,2025-09-17T16:54:40.908Z
sensor.washing_machine_power,33.678,2025-09-17T16:54:46.061Z
sensor.washing_machine_power,52.039,2025-09-17T16:54:51.059Z
sensor.washing_machine_power,43.168,2025-09-17T16:54:56.072Z
sensor.washing_machine_power,4.885,2025-09-17T16:55:01.088Z
sensor.washing_machine_power,55.833,2025-09-17T16:55:06.161Z
sensor.washing_machine_power,51.65,2025-09-17T16:55:11.210Z
sensor.washing_machine_power,59.657,2025-09-17T16:55:16.749Z
sensor.washing_machine_power,56.433,2025-09-17T16:55:21.314Z
sensor.washing_machine_power,49.453,2025-09-17T16:55:26.364Z
sensor.washing_machine_power,4.85,2025-09-17T16:55:31.416Z
sensor.washing_machine_power,39.045,2025-09-17T16:55:36.536Z
sensor.washing_machine_power,50.493,2025-09-17T16:55:41.515Z
sensor.washing_machine_power,46.127,2025-09-17T16:55:46.566Z
sensor.washing_machine_power,49.355,2025-09-17T16:55:51.855Z
sensor.washing_machine_power,6.663,2025-09-17T16:56:01.720Z
sensor.washing_machine_power,37.688,2025-09-17T16:56:06.783Z
sensor.washing_machine_power,52.984,2025-09-17T16:56:11.833Z
sensor.washing_machine_power,46.639,2025-09-17T16:56:16.885Z
sensor.washing_machine_power,59.737,2025-09-17T16:56:21.936Z
sensor.washing_machine_power,49.348,2025-09-17T16:56:27.016Z
sensor.washing_machine_power,38.766,2025-09-17T16:56:32.029Z
sensor.washing_machine_power,49.226,2025-09-17T16:56:37.255Z
sensor.washing_machine_power,46.072,2025-09-17T16:56:47.180Z
sensor.washing_machine_power,53.978,2025-09-17T16:56:52.250Z
sensor.washing_machine_power,46.229,2025-09-17T16:56:57.302Z
sensor.washing_machine_power,52.212,2025-09-17T16:57:02.337Z
sensor.washing_machine_power,4.767,2025-09-17T16:57:07.397Z
sensor.washing_machine_power,51.98,2025-09-17T16:57:12.450Z
sensor.washing_machine_power,59.8,2025-09-17T16:57:17.499Z
sensor.washing_machine_power,41.078,2025-09-17T16:57:22.553Z
sensor.washing_machine_power,48.575,2025-09-17T16:57:27.606Z
sensor.washing_machine_power,52.549,2025-09-17T16:57:32.656Z
sensor.washing_machine_power,4.867,2025-09-17T16:57:37.721Z
sensor.washing_machine_power,46.65,2025-09-17T16:57:42.811Z
sensor.washing_machine_power,44.087,2025-09-17T16:57:47.818Z
sensor.washing_machine_power,58.009,2025-09-17T16:57:52.863Z
sensor.washing_machine_power,54.914,2025-09-17T16:58:02.946Z
sensor.washing_machine_power,4.681,2025-09-17T16:58:08.007Z
sensor.washing_machine_power,43.321,2025-09-17T16:58:13.062Z
sensor.washing_machine_power,55.699,2025-09-17T16:58:18.120Z
sensor.washing_machine_power,34.045,2025-09-17T16:58:28.198Z
sensor.washing_machine_power,53.337,2025-09-17T16:58:33.259Z
sensor.washing_machine_power,4.854,2025-09-17T16:58:38.318Z
sensor.washing_machine_power,39.238,2025-09-17T16:58:43.363Z
sensor.washing_machine_power,45.183,2025-09-17T16:58:48.418Z
sensor.washing_machine_power,62.231,2025-09-17T16:58:53.492Z
sensor.washing_machine_power,41.598,2025-09-17T16:58:58.602Z
sensor.washing_machine_power,53.669,2025-09-17T16:59:04.128Z
sensor.washing_machine_power,48.811,2025-09-17T16:59:08.827Z
